    0   36
    0    0 0.73289D-05 0.00000D+00
    1   -1 0.24535D-05 -.31440D-05
    1    0 0.17456D-05 0.00000D+00
    1    1 -.24535D-05 -.31440D-05
    2   -2 0.23700D-04 -.73063D-04
    2   -1 -.11193D-03 0.13857D-03
    2    0 -.97380D-04 0.00000D+00
    2    1 0.11193D-03 0.13857D-03
    2    2 0.23700D-04 0.73063D-04
    3   -3 0.55096D-04 0.17282D-03
    3   -2 -.94543D-04 0.78844D-04
    3   -1 0.15192D-03 0.68717D-04
    3    0 -.22243D-03 0.00000D+00
    3    1 -.15192D-03 0.68717D-04
    3    2 -.94543D-04 -.78844D-04
    3    3 -.55096D-04 0.17282D-03
    4   -4 0.17794D-03 0.63594D-04
    4   -3 0.97820D-04 -.10093D-03
    4   -2 0.73374D-04 -.38011D-03
    4   -1 0.14571D-03 -.11568D-03
    4    0 -.11007D-03 0.00000D+00
    4    1 -.14571D-03 -.11568D-03
    4    2 0.73374D-04 0.38011D-03
    4    3 -.97820D-04 -.10093D-03
    4    4 0.17794D-03 -.63594D-04
    5   -5 0.16514D-03 0.22304D-03
    5   -4 0.53780D-04 -.56253D-04
    5   -3 0.50756D-04 -.78951D-04
    5   -2 -.12287D-03 0.46350D-05
    5   -1 -.10058D-03 -.92510D-04
    5    0 0.94274D-04 0.00000D+00
    5    1 0.10058D-03 -.92510D-04
    5    2 -.12287D-03 -.46350D-05
    5    3 -.50756D-04 -.78951D-04
    5    4 0.53780D-04 0.56253D-04
    5    5 -.16514D-03 0.22304D-03
    6   -6 0.39106D-03 -.32261D-04
    6   -5 0.15323D-04 -.10947D-03
    6   -4 -.24303D-03 0.41672D-04
    6   -3 -.46664D-04 -.14014D-03
    6   -2 -.67066D-04 0.27602D-03
    6   -1 -.12509D-03 0.22208D-03
    6    0 0.40635D-03 0.00000D+00
    6    1 0.12509D-03 0.22208D-03
    6    2 -.67066D-04 -.27602D-03
    6    3 0.46664D-04 -.14014D-03
    6    4 -.24303D-03 -.41672D-04
    6    5 -.15323D-04 -.10947D-03
    6    6 0.39106D-03 0.32261D-04
    7   -7 0.35517D-03 0.10136D-03
    7   -6 -.19477D-03 0.60597D-04
    7   -5 -.75203D-04 -.78376D-04
    7   -4 0.28159D-04 0.14147D-03
    7   -3 0.75974D-04 0.52601D-04
    7   -2 0.89180D-04 0.23770D-04
    7   -1 0.15321D-04 0.28573D-04
    7    0 -.14894D-03 0.00000D+00
    7    1 -.15321D-04 0.28573D-04
    7    2 0.89180D-04 -.23770D-04
    7    3 -.75974D-04 0.52601D-04
    7    4 0.28159D-04 -.14147D-03
    7    5 0.75203D-04 -.78376D-04
    7    6 -.19477D-03 -.60597D-04
    7    7 -.35517D-03 0.10136D-03
    8   -8 0.16929D-03 -.28004D-03
    8   -7 -.12141D-03 -.10415D-03
    8   -6 -.70645D-04 0.73251D-04
    8   -5 -.65289D-04 -.70292D-04
    8   -4 0.99253D-04 0.13895D-03
    8   -3 0.97803D-04 0.66137D-04
    8   -2 0.18157D-04 -.89892D-04
    8   -1 -.11176D-03 -.13111D-04
    8    0 -.55785D-04 0.00000D+00
    8    1 0.11176D-03 -.13111D-04
    8    2 0.18157D-04 0.89892D-04
    8    3 -.97803D-04 0.66137D-04
    8    4 0.99253D-04 -.13895D-03
    8    5 0.65289D-04 -.70292D-04
    8    6 -.70645D-04 -.73251D-04
    8    7 0.12141D-03 -.10415D-03
    8    8 0.16929D-03 0.28004D-03
    9   -9 0.15071D-03 -.25525D-03
    9   -8 0.12526D-03 0.16022D-04
    9   -7 -.47512D-04 -.36877D-04
    9   -6 0.14007D-03 -.37335D-04
    9   -5 0.81547D-04 -.98315D-04
    9   -4 -.50223D-04 -.29971D-04
    9   -3 -.51938D-04 -.93187D-05
    9   -2 -.41432D-04 -.18946D-03
    9   -1 0.54518D-04 -.79492D-04
    9    0 -.89236D-04 0.00000D+00
    9    1 -.54518D-04 -.79492D-04
    9    2 -.41432D-04 0.18946D-03
